Country,Region,Population,Area,Pop. Density,GDP,Literacy,Phones,Arable,Crops,Birthrate
Afghanistan,ASIA,31056997,647500,48,700,36,3.2,12.13,0.22,46.6
Bangladesh,ASIA,147365352,144000,1023.4,1900,43.1,7.3,62.11,3.07,29.8
Bhutan,ASIA,2279723,47000,48.5,1300,42.2,14.3,3.09,0.43,33.65
Brunei,ASIA,379444,5770,65.8,18600,93.9,237.2,0.57,0.76,18.79
Burma,ASIA,47382633,678500,69.8,1800,85.3,10.1,15.19,0.97,17.91
Cambodia,ASIA,13881427,181040,76.7,1900,69.4,2.6,20.96,0.61,26.9
China,ASIA,1313973713,9596960,136.9,5000,90.9,266.7,15.4,1.25,13.25
East Timor,ASIA,1062777,15007,70.8,500,58.6,,4.71,0.67,26.99
Hong Kong,ASIA,6940432,1092,6355.7,28800,93.5,546.7,5.05,1.01,7.29
India,ASIA,1095351995,3287590,333.2,2900,59.5,45.4,54.4,2.74,22.01
Indonesia,ASIA,245452739,1919440,127.9,3200,87.9,52,11.32,7.23,20.34
Iran,ASIA,68688433,1648000,41.7,7000,79.4,276.4,8.72,1.39,17
Japan,ASIA,127463611,377835,337.4,28200,99,461.2,12.19,0.96,9.37
North Korea,ASIA,23113019,120540,191.8,1300,99,42.4,20.76,2.49,15.54
South Korea,ASIA,48846823,98480,496,17800,97.9,486.1,17.18,1.95,10
Thailand,ASIA,6368481,236800,26.9,1700,66.4,14.1,3.8,0.35,35.49
Macau,ASIA,453125,28,16183,19400,94.5,384.9,0,0,8.48
Malaysia,ASIA,24385858,329750,74,9000,88.7,179,5.48,17.61,22.86
Maldives,ASIA,359008,300,1196.7,3900,97.2,90,13.33,16.67,34.81
Mongolia,ASIA,2832224,1564116,1.8,1800,97.8,55.1,0.77,0,21.59
Nepal,ASIA,28287147,147181,192.2,1400,45.2,15.9,21.68,0.64,30.98
Pakistan,ASIA,165803560,803940,206.2,2100,45.7,31.8,27.87,0.87,29.74
Philippines,ASIA,89468677,300000,298.2,4600,92.6,38.4,18.95,16.77,24.89
Singapore,ASIA,4492150,693,6482.2,23700,92.5,411.4,1.64,0,9.34
Sri Lanka,ASIA,20222240,65610,308.2,3700,92.3,61.5,13.86,15.7,15.51
Taiwan,ASIA,23036087,35980,640.3,23400,96.1,591,24,1,12.56
Thailand,ASIA,64631595,514000,125.7,7400,92.6,108.9,29.36,6.46,13.87
Vietnam,ASIA,84402966,329560,256.1,2500,90.3,187.7,19.97,5.95,16.86
Estonia,BALTICS,1324333,45226,29.3,12300,99.8,333.8,16.04,0.45,10.04
Latvia,BALTICS,2274735,64589,35.2,10200,99.8,321.4,29.67,0.47,9.24
Lithuania,BALTICS,3585906,65200,55,11400,99.6,223.4,45.22,0.91,8.75
Armenia,C.W. OF IND. STATES,2976372,29800,99.9,3500,98.6,195.7,17.55,2.3,12.07
Azerbaijan,C.W. OF IND. STATES,7961619,86600,91.9,3400,97,137.1,19.63,2.71,20.74
Belarus,C.W. OF IND. STATES,10293011,207600,49.6,6100,99.6,319.1,29.55,0.6,11.16
Georgia,C.W. OF IND. STATES,4661473,69700,66.9,2500,99,146.6,11.44,3.86,10.41
Kazakhstan,C.W. OF IND. STATES,15233244,2717300,5.6,6300,98.4,164.1,7.98,0.05,16
Kyrgyzstan,C.W. OF IND. STATES,5213898,198500,26.3,1600,97,84,7.3,0.35,22.8
Moldova,C.W. OF IND. STATES,4466706,33843,132,1800,99.1,208.1,55.3,10.79,15.7
Russia,C.W. OF IND. STATES,142893540,17075200,8.4,8900,99.6,280.6,7.33,0.11,9.95
Tajikistan,C.W. OF IND. STATES,7320815,143100,51.2,1000,99.4,33.5,6.61,0.92,32.65
Turkmenistan,C.W. OF IND. STATES,5042920,488100,10.3,5800,98,74.6,3.72,0.14,27.61
Ukraine,C.W. OF IND. STATES,46710816,603700,77.4,5400,99.7,259.9,56.21,1.61,8.82
Uzbekistan,C.W. OF IND. STATES,27307134,447400,61,1700,99.3,62.9,10.83,0.83,26.36
Albania,EASTERN EUROPE,3581655,28748,124.6,4500,86.5,71.2,21.09,4.42,15.11
Bosnia & Herzegovina,EASTERN EUROPE,4498976,51129,88,6100,,215.4,13.6,2.96,8.77
